iter	Passed	Remaining
0	2	406
1	3	349
2	4	320
3	6	338
4	8	331
5	10	348
6	12	346
7	14	350
8	16	347
9	18	344
10	19	342
11	21	342
12	23	339
13	25	336
14	26	330
15	28	333
16	31	336
17	33	339
18	35	338
19	37	339
20	39	338
21	42	339
22	44	339
23	45	337
24	47	334
25	49	330
26	51	327
27	52	324
28	54	321
29	55	317
30	57	313
31	59	310
32	60	306
33	62	304
34	63	300
35	65	296
36	66	293
37	68	290
38	69	287
39	71	286
40	73	284
41	74	280
42	76	278
43	78	276
44	80	275
45	81	272
46	82	269
47	84	266
48	85	263
49	86	259
50	88	257
51	89	254
52	90	251
53	91	248
54	93	245
55	94	242
56	95	240
57	97	237
58	98	235
59	99	232
60	101	230
61	102	227
62	103	225
63	105	223
64	106	221
65	107	219
66	109	217
67	110	215
68	112	213
69	113	211
70	115	210
71	116	207
72	118	205
73	119	204
74	121	202
75	122	199
76	123	197
77	125	195
78	126	193
79	127	191
80	129	189
81	130	187
82	132	186
83	133	184
84	134	182
85	135	180
86	137	178
87	138	176
88	139	174
89	141	172
90	142	170
91	143	168
92	145	166
93	146	165
94	147	163
95	148	161
96	150	159
97	151	157
98	152	156
99	154	154
100	155	152
101	156	150
102	158	148
103	159	147
104	160	145
105	162	143
106	163	142
107	165	140
108	166	139
109	168	137
110	169	136
111	171	134
112	172	133
113	174	131
114	175	130
115	177	128
116	179	127
117	180	125
118	182	123
119	183	122
120	185	120
121	186	119
122	188	117
123	189	116
124	191	114
125	192	113
126	194	111
127	195	110
128	197	108
129	198	107
130	200	105
131	202	104
132	203	102
133	204	100
134	206	99
135	207	97
136	208	95
137	210	94
138	211	92
139	212	91
140	213	89
141	215	87
142	216	86
143	217	84
144	219	83
145	220	81
146	222	80
147	223	78
148	225	77
149	226	75
150	227	73
151	229	72
152	230	70
153	231	69
154	233	67
155	234	66
156	235	64
157	237	63
158	238	61
159	239	59
160	241	58
161	242	56
162	244	55
163	245	53
164	246	52
165	248	50
166	249	49
167	250	47
168	252	46
169	253	44
170	254	43
171	256	41
172	257	40
173	259	38
174	260	37
175	262	35
176	263	34
177	265	32
178	266	31
179	268	29
180	269	28
181	271	26
182	272	25
183	274	23
184	275	22
185	277	20
186	278	19
187	280	17
188	281	16
189	283	14
190	284	13
191	286	11
192	287	10
193	289	8
194	290	7
195	292	5
196	293	4
197	295	2
198	296	1
199	298	0
