iter	MultiClass
0	1.739810478
1	1.691981091
2	1.658001332
3	1.625371214
4	1.586444167
5	1.547600381
6	1.520120065
7	1.486499372
8	1.459640694
9	1.432076866
10	1.402784547
11	1.381566079
12	1.354191843
13	1.32685089
14	1.29901497
15	1.275601078
16	1.251258504
17	1.228559562
18	1.211276219
19	1.189092887
20	1.171411705
21	1.156844895
22	1.142333912
23	1.124220768
24	1.109931782
25	1.092143762
26	1.080241387
27	1.062675179
28	1.044996815
29	1.032633445
30	1.018155284
31	1.004286658
32	0.9940310057
33	0.9833753767
34	0.9728658669
35	0.961447061
36	0.9516682681
37	0.9408699364
38	0.9324402064
39	0.9226610543
40	0.9132895581
41	0.9051027428
42	0.897098932
43	0.8869893396
44	0.8790945742
45	0.8728953961
46	0.8646380256
47	0.8564912364
48	0.8456227468
49	0.8390861071
50	0.8328403726
51	0.8247076105
52	0.8173156053
53	0.8102967548
54	0.8036347124
55	0.7949008378
56	0.7871982993
57	0.7819392812
58	0.7779391082
59	0.7735770376
60	0.7686229142
61	0.7634494711
62	0.7567401357
63	0.7521165704
64	0.74612728
65	0.7413108569
66	0.7371523503
67	0.7329774053
68	0.7287942272
69	0.7243407019
70	0.720636097
71	0.7162377518
72	0.7124138488
73	0.7087854311
74	0.7027203074
75	0.6982395098
76	0.6949597011
77	0.6909727499
78	0.6870007191
79	0.6829029709
80	0.68056418
81	0.6763710954
82	0.6725757642
83	0.6686876317
84	0.6661064229
85	0.6638456076
86	0.6608717723
87	0.6579656314
88	0.6551662797
89	0.6516197249
90	0.6485089117
91	0.6453340914
92	0.6425609827
93	0.6398625131
94	0.6374359109
95	0.6338381337
96	0.6309881355
97	0.6281946938
98	0.6242627304
99	0.6212649173
100	0.6183168266
101	0.6164590253
102	0.6125260433
103	0.6089907563
104	0.6067306205
105	0.6045384358
106	0.6013779959
107	0.5971551852
108	0.5948047258
109	0.5922958769
110	0.588411776
111	0.5843122334
112	0.5811165556
113	0.5786976792
114	0.5763902752
115	0.5740085361
116	0.5720526368
117	0.5693122446
118	0.5672789568
119	0.5652954159
120	0.5636623907
121	0.5610352615
122	0.558697341
123	0.5567037141
124	0.5535852564
125	0.551086901
126	0.5486881215
127	0.546090751
128	0.5436750535
129	0.54078462
130	0.5388585264
131	0.5365480959
132	0.5343778366
133	0.5328460128
134	0.5304403417
135	0.5282573295
136	0.5261817803
137	0.5239712391
138	0.5226794515
139	0.5214232643
140	0.5198028127
141	0.5185471693
142	0.516494866
143	0.5138188553
144	0.5112163575
145	0.5093302697
146	0.5071927425
147	0.505487428
148	0.5027174359
149	0.5004329666
150	0.498598202
151	0.4967418686
152	0.4951463724
153	0.4929744748
154	0.4913210209
155	0.4894630308
156	0.4878404934
157	0.4859313301
158	0.4839604159
159	0.4817361228
160	0.4793701739
161	0.4771750407
162	0.4756778766
163	0.4737152354
164	0.4720477677
165	0.4701601344
166	0.4681460657
167	0.4659574295
168	0.4632582855
169	0.461522232
170	0.4600281241
171	0.4578625498
172	0.4562347806
173	0.4538664526
174	0.4525876192
175	0.4513569308
176	0.4498766309
177	0.4485810209
178	0.4478767843
179	0.4462588342
180	0.4447010393
181	0.4436104191
182	0.4423744781
183	0.440573751
184	0.4388785162
185	0.437260421
186	0.4354442261
187	0.4335522122
188	0.4322909551
189	0.4306379586
190	0.4295610766
191	0.4277555954
192	0.4260709938
193	0.4247440999
194	0.4233432066
195	0.4221719579
196	0.4205298169
197	0.4189843965
198	0.4169668913
199	0.4159124083
